State,Class,Name,Party,Education,BA School Type
Alabama,3,Richard Shelby,Republican,"University of Alabama, Tuscaloosa(BA; LLB)
Birmingham School of Law(JD)",Public
Alabama,2,Luther Strange,Republican,"Tulane University(BA, JD)",Private
Alaska,3,Lisa Murkowski,Republican,"Georgetown University(BA)
Willamette University (JD)",Private
Alaska,2,Dan Sullivan,Republican,"Harvard University(BA)
Georgetown University(MS; JD)",Private
Arizona,3,John McCain,Republican,United States Naval Academy (BS),Military
Arizona,1,Jeff Flake,Republican,"Brigham Young University, Utah (BA; MA)",Private
Arkansas,3,John Boozman,Republican,"University of Arkansas, Fayetteville(attended)
Southern College of Optometry(OD)",Public
Arkansas,2,Tom Cotton,Republican,"Harvard University(BA; JD)
Claremont Graduate University(attended)",Private
California,1,Dianne Feinstein,Democratic,Stanford University(BA),Private
California,3,Kamala Harris,Democratic,"Howard University(BA)
University of California, Hastings (JD)",Private
Colorado,3,Michael Bennet,Democratic,"Wesleyan University(BA)
Yale University (JD)",Private
Colorado,2,Cory Gardner,Republican,"Colorado State University, Fort Collins(BA)
University of Colorado, Boulder (JD)",Public
Connecticut,3,Richard Blumenthal,Democratic,"Harvard University(BA)
Trinity College, Cambridge(attended)
Yale University (JD)",Private
Connecticut,1,Chris Murphy,Democratic,"Williams College (BA)
University of Connecticut, Hartford (JD)",Private
Delaware,1,Tom Carper,Democratic,"Ohio State University(BA)
University of Delaware, Newark (MBA)",Public
Delaware,2,Chris Coons,Democratic,"Amherst College (BA)
Yale University(MA, JD)",Private
Florida,1,Bill Nelson,Democratic,"University of Florida(attended)
Yale University(BA)
University of Virginia (JD)",Private
Florida,3,Marco Rubio,Republican,"Tarkio College(attended)
Santa Fe College(attended)
University of Florida (BA)
University of Miami (JD)",Public
Georgia,3,Johnny Isakson,Republican,University of Georgia (BBA),Public
Georgia,2,David Perdue,Republican,Georgia Institute of Technology(BS; MS),Public
Hawaii,3,Brian Schatz,Democratic,Pomona College (BA),Private
Hawaii,1,Mazie Hirono,Democratic,"University of Hawaii, Manoa (BA)
Georgetown University (JD)",Public
Idaho,3,Mike Crapo,Republican,"Brigham Young University, Utah (BA)
Harvard University (JD)",Private
Idaho,2,Jim Risch,Republican,"University of Wisconsin, Milwaukee(attended)
University of Idaho, Moscow (BS;JD)",Public
Illinois,2,Dick Durbin,Democratic,Georgetown University(BS; JD),Private
Illinois,3,Tammy Duckworth,Democratic,"University of Hawaii, Manoa (BA)
George Washington University(MA)
Northern Illinois University(attended)
Capella University(PhD)",Public
Indiana,1,Joe Donnelly,Democratic,University of Notre Dame(BA; JD),Private
Indiana,3,Todd Young,Republican,"United States Naval Academy (BS)
University of Chicago(MBA)
University of London (MA)
Indiana University, Indianapolis(JD)",Military
Iowa,3,Chuck Grassley,Republican,"University of Northern Iowa(BA; MA)
University of Iowa (attended)",Public
