,State,Class,Portrait,Name,Party,Occupation,Previous Office(s),Education,Assumed Office,Born,Seat Up
,Alabama,3,,Richard Shelby,Republican,Lawyer in private practice,"U.S. House, Alabama Senate","University of Alabama, Tuscaloosa(BA; LLB)
Birmingham School of Law(JD)","January 3, 1987","May 6, 1934 (age 82)",2022
,Alabama,2,,Luther Strange,Republican,Lawyer in private practice,Alabama Attorney General,"Tulane University(BA, JD)","February 9, 2017","March 1, 1953 (age 63)",2020
,Alaska,3,,Lisa Murkowski,Republican,Lawyer in private practice,Alaska House,"Georgetown University(BA)
Willamette University (JD)","December 20, 2002","May 22, 1957 (age 59)",2022
,Alaska,2,,Dan Sullivan,Republican,Lawyer in private practice,"Alaska Natural Resources Commissioner, Alaska Attorney General, U.S. Assistant Secretary of State for Economic and Business Affairs","Harvard University(BA)
Georgetown University(MS; JD)","January 3, 2015","November 13, 1964 (age 52)",2020
,Arizona,3,,John McCain,Republican,"Vice president of public relations, Hensley & Co.","U.S. House, U.S. Navy Captain",United States Naval Academy (BS),"January 3, 1987","August 29, 1936 (age 80)",2022
,Arizona,1,,Jeff Flake,Republican,Nonprofit director,U.S. House,"Brigham Young University, Utah (BA; MA)","January 3, 2013","December 31, 1962 (age 54)",2018
,Arkansas,3,,John Boozman,Republican,Optometrist,"Rogers Public School Board, U.S. House","University of Arkansas, Fayetteville(attended)
Southern College of Optometry(OD)","January 3, 2011","December 10, 1950 (age 66)",2022
,Arkansas,2,,Tom Cotton,Republican,Lawyer,"U.S. House, U.S. Army Captain","Harvard University(BA; JD)
Claremont Graduate University(attended)","January 3, 2015","May 13, 1977 (age 39)",2020
,California,1,,Dianne Feinstein,Democratic,Nonprofit organization board of directors member,"San Francisco Mayor, San Francisco Board",Stanford University(BA),"November 10, 1992","June 22, 1933 (age 83)",2018
,California,3,,Kamala Harris,Democratic,None,"California Attorney General, San Francisco District Attorney","Howard University(BA)
University of California, Hastings (JD)","January 3, 2017","October 20, 1964 (age 52)",2022
,Colorado,3,,Michael Bennet,Democratic,Managing director of an investment firm,Denver Public Schools Superintendent,"Wesleyan University(BA)
Yale University (JD)","January 21, 2009","November 28, 1964 (age 52)",2022
,Colorado,2,,Cory Gardner,Republican,None,"U.S. House, Colorado House","Colorado State University, Fort Collins(BA)
University of Colorado, Boulder (JD)","January 3, 2015","August 22, 1974 (age 42)",2020
,Connecticut,3,,Richard Blumenthal,Democratic,Lawyer,"Connecticut Attorney General, Connecticut Senate, Connecticut House","Harvard University(BA)
Trinity College, Cambridge(attended)
Yale University (JD)","January 5, 2011","February 13, 1946 (age 71)",2022
,Connecticut,1,,Chris Murphy,Democratic,Lawyer,"U.S. House, Connecticut Senate, Connecticut House","Williams College (BA)
University of Connecticut, Hartford (JD)","January 3, 2013","August 3, 1973 (age 43)",2018
,Delaware,1,,Tom Carper,Democratic,None,"Delaware Governor, U.S. House, Delaware Treasurer, U.S. Navy Captain","Ohio State University(BA)
University of Delaware, Newark (MBA)","January 3, 2001","January 23, 1947 (age 70)",2018
,Delaware,2,,Chris Coons,Democratic,"Nonprofit work, lawyer for a manufacturer",New Castle County Executive,"Amherst College (BA)
Yale University(MA, JD)","November 15, 2010","September 9, 1963 (age 53)",2020
,Florida,1,,Bill Nelson,Democratic,Lawyer in private practice,"Florida Treasurer, U.S. House, Florida House, Astronaut","University of Florida(attended)
Yale University(BA)
University of Virginia (JD)","January 3, 2001","September 29, 1942 (age 74)",2018
,Florida,3,,Marco Rubio,Republican,Lawyer in private practice,Florida House Speaker,"Tarkio College(attended)
Santa Fe College(attended)
University of Florida (BA)
University of Miami (JD)","January 3, 2011","May 28, 1971 (age 45)",2022
,Georgia,3,,Johnny Isakson,Republican,Real estate broker,"U.S. House, Georgia Senate, Georgia House",University of Georgia (BBA),"January 3, 2005","December 28, 1944 (age 72)",2022
,Georgia,2,,David Perdue,Republican,Chief executive officer,None,Georgia Institute of Technology(BS; MS),"January 3, 2015","December 10, 1949 (age 67)",2020
,Hawaii,3,,Brian Schatz,Democratic,"CEO, director of nonprofits","Hawaii Lieutenant Governor, Hawaii House",Pomona College (BA),"December 26, 2012","October 20, 1972 (age 44)",2022
,Hawaii,1,,Mazie Hirono,Democratic,Lawyer in private practice,"U.S. House, Hawaii House, Hawaii Lieutenant Governor","University of Hawaii, Manoa (BA)
Georgetown University (JD)","January 3, 2013","November 3, 1947 (age 69)",2018
,Idaho,3,,Mike Crapo,Republican,Lawyer,"U.S. House, Idaho Senate","Brigham Young University, Utah (BA)
Harvard University (JD)","January 3, 1999","May 20, 1951 (age 65)",2022
,Idaho,2,,Jim Risch,Republican,"Professor, rancher, president of nonprofit","Idaho Governor, Idaho Lieutenant Governor, Idaho Senate President pro tempore, Ada County Attorney","University of Wisconsin, Milwaukee(attended)
University of Idaho, Moscow (BS;JD)","January 3, 2009","May 3, 1943 (age 73)",2020
,Illinois,2,,Dick Durbin,Democratic,"Lawyer in private practice, professor",U.S. House,Georgetown University(BS; JD),"January 3, 1997","November 21, 1944 (age 72)",2020
,Illinois,3,,Tammy Duckworth,Democratic,None,"U.S. ArmyLieutenant Colonel, U.S. House, Assistant Secretary of Veterans Affairs for Public and Intergovernmental Affairs, Illinois Director of Veterans Affairs","University of Hawaii, Manoa (BA)
George Washington University(MA)
Northern Illinois University(attended)
Capella University(PhD)","January 3, 2017","March 12, 1968 (age 48)",2022
,Indiana,1,,Joe Donnelly,Democratic,"Printer, lawyer in a law firm",U.S. House,University of Notre Dame(BA; JD),"January 3, 2013","September 29, 1955 (age 61)",2018
,Indiana,3,,Todd Young,Republican,"Attorney, adjunct professor",U.S. House,"United States Naval Academy (BS)
University of Chicago(MBA)
University of London (MA)
Indiana University, Indianapolis(JD)","January 3, 2017","August 24, 1972 (age 44)",2022
,Iowa,3,,Chuck Grassley,Republican,"Farmer, sheet metal shearer, assembly line worker","U.S. House, Iowa House","University of Northern Iowa(BA; MA)
University of Iowa (attended)","January 3, 1981","September 17, 1933 (age 83)",2022
,Iowa,2,,Joni Ernst,Republican,Farmer,"U.S. ArmyLieutenant Colonel, Iowa Senate","Iowa State University(BA)
Columbus State University(MPA)","January 3, 2015","July 1, 1970 (age 46)",2020
,Kansas,2,,Pat Roberts,Republican,Journalist,U.S. House,"Kansas State University, Manhattan(BA)","January 3, 1997","April 20, 1936 (age 80)",2020
,Kansas,3,,Jerry Moran,Republican,"Banker, lawyer in a law firm","U.S. House, Kansas Senate","Fort Hays State University(attended)
University of Kansas, Lawrence (BS;JD)","January 3, 2011","May 29, 1954 (age 62)",2022
,Kentucky,2,,Mitch McConnell,Republican,None,"U.S. Deputy Assistant Attorney General for Legislative Affairs, Jefferson County Executive","University of Louisville (BA)
University of Kentucky (JD)","January 3, 1985","February 20, 1942 (age 74)",2020
,Kentucky,3,,Rand Paul,Republican,Ophthalmologist,Congressional Intern,"Baylor University(attended)
Duke University(MD)","January 3, 2011","January 7, 1963 (age 54)",2022
,Louisiana,2,,Bill Cassidy,Republican,Physician,"U.S. House, Louisiana Senate","Louisiana State University, Baton Rogue(BS)
Louisiana State University, New Orleans(MD)","January 3, 2015","September 28, 1957 (age 59)",2020
