,State,Name,Party,Education,INSTNM,DeVos,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,CONTROL,UGDS,UGDS_WHITE,COSTT4_A,countINSTNM,rankScore,rankTimesScore,rankUSNewsScore
0,Alabama,Richard Shelby,Republican,"University of Alabama, Tuscaloosa(BA; LLB)
Birmingham School of Law(JD)",The University of Alabama,Yes,Tuscaloosa,AL,35487-0166,33.2144,-87.545766,Public,29851.0,0.7825,26400.0,3,,47,47
1,Alabama,Luther Strange,Republican,"Tulane University(BA, JD)",Tulane University of Louisiana,Yes,New Orleans,LA,70118-5698,29.939696,-90.120409,Private nonprofit,7892.0,0.7138,61055.0,2,,64,64
2,Alaska,Lisa Murkowski,Republican,"Georgetown University(BA)
Willamette University (JD)",Georgetown University,No,Washington,DC,20057-0001,38.908809000000005,-77.073463,Private nonprofit,7211.0,0.5813,62179.0,2,58.8,78,78
3,Alaska,Dan Sullivan,Republican,"Harvard University(BA)
Georgetown University(MS; JD)",Harvard University,Yes,Cambridge,MA,02138,42.374429,-71.118177,Private nonprofit,7236.0,0.4527,59950.0,3,91.6,98,98
4,Arizona,John McCain,Republican,United States Naval Academy (BS),United States Naval Academy,Yes,Annapolis,MD,,38.9820658,-76.4839405,Military,4576,,,1,,86,86
5,Arizona,Jeff Flake,Republican,"Brigham Young University, Utah (BA; MA)",Brigham Young University-Provo,Yes,Provo,UT,84602,40.250851000000004,-111.649281,Private nonprofit,27163.0,0.832,17236.0,2,,57,57
6,Arkansas,John Boozman,Republican,"University of Arkansas, Fayetteville(attended)
Southern College of Optometry(OD)",Southern College of Optometry,Yes,Memphis,TN,38104-2211,35.138252,-90.019856,Private nonprofit,,,,1,,0,0
7,Arkansas,Tom Cotton,Republican,"Harvard University(BA; JD)
Claremont Graduate University(attended)",Harvard University,Yes,Cambridge,MA,02138,42.374429,-71.118177,Private nonprofit,7236.0,0.4527,59950.0,2,91.6,98,98
8,California,Dianne Feinstein,Democratic,Stanford University(BA),Stanford University,No,Stanford,CA,94305,37.426967,-122.168826,Private nonprofit,7018.0,0.3752,60311.0,1,93.9,95,95
9,California,Kamala Harris,Democratic,"Howard University(BA)
University of California, Hastings (JD)",Howard University,No,Washington,DC,20059-0001,38.920739000000005,-77.019478,Private nonprofit,6961.0,0.0144,41643.0,2,-,43,43
10,Colorado,Michael Bennet,Democratic,"Wesleyan University(BA)
Yale University (JD)",Wesleyan University,No,Middletown,CT,06459,41.556779999999996,-72.656755,Private nonprofit,2907.0,0.5329,62849.0,2,,84,84
11,Colorado,Cory Gardner,Republican,"Colorado State University, Fort Collins(BA)
University of Colorado, Boulder (JD)",Colorado State University-Fort Collins,Yes,Fort Collins,CO,80523-0100,40.574759,-105.08083,Public,22373.0,0.7467,22929.0,2,,42,42
12,Connecticut,Richard Blumenthal,Democratic,"Harvard University(BA)
Trinity College, Cambridge(attended)
Yale University (JD)",Harvard University,No,Cambridge,MA,02138,42.374429,-71.118177,Private nonprofit,7236.0,0.4527,59950.0,2,91.6,98,98
13,Connecticut,Chris Murphy,Democratic,"Williams College (BA)
University of Connecticut, Hartford (JD)",Williams College,No,Williamstown,MA,01267,42.711669,-73.205888,Private nonprofit,2019.0,0.5557,61850.0,2,,100,100
14,Delaware,Tom Carper,Democratic,"Ohio State University(BA)
University of Delaware, Newark (MBA)",Ohio State University-Main Campus,No,Columbus,OH,43210,39.998389,-83.009001,Public,43733.0,0.7194,25029.0,2,,61,61
15,Delaware,Chris Coons,Democratic,"Amherst College (BA)
Yale University(MA, JD)",Amherst College,No,Amherst,MA,01002-5000,42.372459,-72.518493,Private nonprofit,1792.0,0.4191,61544.0,3,,95,95
16,Florida,Bill Nelson,Democratic,"University of Florida(attended)
Yale University(BA)
University of Virginia (JD)",Yale University,No,New Haven,CT,06520,41.311158,-72.926688,Private nonprofit,5473.0,0.4705,61620.0,2,87.4,97,97
17,Florida,Marco Rubio,Republican,"Tarkio College(attended)
Santa Fe College(attended)
University of Florida (BA)
University of Miami (JD)",University of Florida,Yes,Gainesville,FL,32611,29.649428000000004,-82.339958,Public,31879.0,0.5783,20085.0,2,56.1,62,62
18,Georgia,Johnny Isakson,Republican,University of Georgia (BBA),University of Georgia,Yes,Athens,GA,30602,33.956428,-83.374049,Public,26738.0,0.7228,21981.0,1,-,60,60
19,Georgia,David Perdue,Republican,Georgia Institute of Technology(BS; MS),Georgia Institute of Technology-Main Campus,Yes,Atlanta,GA,30332-0530,33.773732,-84.396019,Public,13996.0,0.5308,23216.0,2,,67,67
20,Hawaii,Brian Schatz,Democratic,Pomona College (BA),Pomona College,No,Claremont,CA,91711-6319,34.098298,-117.71194399999999,Private nonprofit,1635.0,0.4269,59730.0,1,,90,90
