,INSTNM,rankUSNEWSScore
0,The University of Alabama,47
1,Tulane University of Louisiana,64
2,Georgetown University,78
3,Harvard University,98
4,United States Naval Academy,86
5,Brigham Young University-Provo,57
6,Southern College of Optometry,0
7,Harvard University,98
8,Stanford University,95
9,Howard University,43
10,Wesleyan University,84
11,Colorado State University-Fort Collins,42
12,Harvard University,98
13,Williams College,100
14,Ohio State University-Main Campus,61
15,Amherst College,95
16,Yale University,97
17,University of Florida,62
18,University of Georgia,60
19,Georgia Institute of Technology-Main Campus,67
20,Pomona College,90
21,University of Hawaii at Manoa,34
22,Brigham Young University-Provo,57
23,University of Idaho,33
24,Georgetown University,78
25,University of Hawaii at Manoa,34
26,University of Notre Dame,85
27,United States Naval Academy,86
28,University of Northern Iowa,73
29,Iowa State University,45
30,Kansas State University,40
31,University of Kansas,44
32,University of Louisville,33
33,Duke University,92
34,Louisiana State University and Agricultural & Mechanical College,40
35,Vanderbilt University,85
36,St Lawrence University,67
37,Dartmouth College,90
38,University of Pittsburgh-Pittsburgh Campus,57
39,Swarthmore College,93
40,University of Houston,29
41,Boston College,70
42,Michigan State University,52
43,Alma College,43
44,Yale University,97
45,Harvard University,98
46,University of Mississippi,40
47,University of Mississippi,40
48,University of Missouri-Columbia,45
49,Southwest Baptist University,0
50,University of Great Falls,45
51,Montana State University,26
52,University of Nebraska-Lincoln,45
53,Harvard University,98
54,University of Southern California,77
55,University of Nevada-Reno,28
56,Shippensburg University of Pennsylvania,51
57,Brown University,87
58,Saint Peter's University,50
59,Stanford University,95
60,Prescott College,29
61,University of Missouri-Columbia,45
62,Harvard University,98
63,Dartmouth College,90
64,Wake Forest University,74
65,University of Maryland-University College,0
66,Dartmouth College,90
67,University of North Dakota,27
68,Yale University,97
69,Dartmouth College,90
70,University of Tulsa,51
71,The University of Texas at Austin,60
72,Stanford University,95
73,Stanford University,95
74,College of the Holy Cross,78
75,Harvard University,98
76,United States Military Academy,85
77,Yale University,97
78,University of South Carolina-Columbia,46
79,Charleston Southern University,36
80,Biola University,35
81,South Dakota State University,27
82,Vanderbilt University,85
83,The University of Tennessee-Knoxville,47
84,Trinity University,100
85,Princeton University,100
86,Brigham Young University-Provo,57
87,Brigham Young University-Provo,57
88,Saint Michael's College,54
89,University of Chicago,97
90,George Washington University,60
91,University of Missouri-Columbia,45
92,Washington State University,39
93,Miami University-Oxford,53
94,West Virginia University,31
95,Duke University,92
96,University of Minnesota-Twin Cities,55
97,Smith College,86
98,George Washington University,60
99,Georgetown University,78
